TOP3,Year_cleaned,Shark_species
USA,2018.0,white
AUSTRALIA,2018.0,others
other,2018.0,tiger
other,2018.0,tiger
USA,2018.0,lemon
USA,2018.0,bull
AUSTRALIA,2018.0,grey
other,2018.0,others
AUSTRALIA,2018.0,nurse
AUSTRALIA,2018.0,others
other,2018.0,tiger
AUSTRALIA,2018.0,others
AUSTRALIA,2018.0,others
AUSTRALIA,2018.0,white
other,2018.0,tiger
SOUTH AFRICA,2018.0,white
USA,2018.0,others
other,2018.0,bull
other,2018.0,tiger
other,2018.0,others
other,2018.0,others
other,2018.0,bull
SOUTH AFRICA,2018.0,white
USA,2018.0,tiger
AUSTRALIA,2018.0,wobbegong
AUSTRALIA,2018.0,others
AUSTRALIA,2018.0,others
SOUTH AFRICA,2018.0,black
AUSTRALIA,2018.0,white
AUSTRALIA,2018.0,bull
AUSTRALIA,2018.0,wobbegong
other,2018.0,others
other,2018.0,others
AUSTRALIA,2018.0,others
AUSTRALIA,2018.0,bull
other,2018.0,bull
AUSTRALIA,2018.0,grey
AUSTRALIA,2018.0,white
other,2018.0,small
AUSTRALIA,2018.0,wobbegong
USA,2017.0,tiger
other,2017.0,nurse
other,2017.0,nurse
other,2017.0,tiger
other,2017.0,tiger
other,2017.0,blue
USA,2017.0,white
AUSTRALIA,2017.0,others
other,2017.0,tiger
AUSTRALIA,2017.0,others
AUSTRALIA,2017.0,wobbegong
AUSTRALIA,2017.0,white
other,2017.0,others
USA,2017.0,spinner
USA,2017.0,tiger
USA,2017.0,others
SOUTH AFRICA,2017.0,others
USA,2017.0,others
AUSTRALIA,2017.0,white
USA,2017.0,others
USA,2017.0,others
other,2017.0,others
AUSTRALIA,2017.0,white
USA,2017.0,others
AUSTRALIA,2017.0,white
USA,2017.0,nurse
AUSTRALIA,2017.0,white
other,2017.0,others
USA,2017.0,white
other,2017.0,others
USA,2017.0,black
other,2017.0,white
USA,2017.0,others
USA,2017.0,white
USA,2017.0,small
USA,2017.0,tiger
other,2017.0,blue
USA,2017.0,small
USA,2017.0,others
USA,2017.0,white
USA,2017.0,white
USA,2017.0,white
USA,2017.0,white
USA,2017.0,bull
other,2017.0,tiger
SOUTH AFRICA,2017.0,white
other,2017.0,others
USA,2017.0,others
USA,2017.0,bull
other,2017.0,bull
AUSTRALIA,2017.0,white
AUSTRALIA,2017.0,others
other,2017.0,others
USA,2017.0,others
other,2017.0,tiger
USA,2017.0,others
USA,2017.0,tiger
AUSTRALIA,2017.0,others
USA,2017.0,others
USA,2017.0,others
USA,2017.0,others
AUSTRALIA,2017.0,white
USA,2017.0,tiger
SOUTH AFRICA,2017.0,others
USA,2017.0,bull
USA,2017.0,white
other,2017.0,others
other,2017.0,lemon
AUSTRALIA,2017.0,bull
other,2017.0,lemon
SOUTH AFRICA,2017.0,tiger
USA,2017.0,white
other,2017.0,reef
AUSTRALIA,2017.0,bull
other,2017.0,bull
AUSTRALIA,2017.0,others
AUSTRALIA,2016.0,small
